"","median_house_value","longitude","latitude","housing_median_age","population","households","median_income","ocean_proximity","room.per.household","bedroom.per.room","household.size","id"
"2",358500,-122.22,37.86,21,2401,1138,8.3014,"NEAR BAY",6.23813708260105,0.155796591069165,2.10984182776801,2
"3",352100,-122.24,37.85,52,496,177,7.2574,"NEAR BAY",8.28813559322034,0.129516019086571,2.80225988700565,3
"4",341300,-122.25,37.85,52,558,219,5.6431,"NEAR BAY",5.81735159817352,0.184458398744113,2.54794520547945,4
"5",342200,-122.25,37.85,52,565,259,3.8462,"NEAR BAY",6.28185328185328,0.172095881991395,2.18146718146718,5
"6",269700,-122.25,37.85,52,413,193,4.0368,"NEAR BAY",4.76165803108808,0.23177366702938,2.13989637305699,6
"7",299200,-122.25,37.84,52,1094,514,3.6591,"NEAR BAY",4.93190661478599,0.192899408284024,2.1284046692607,7
"9",226700,-122.26,37.84,42,1206,595,2.0804,"NEAR BAY",4.29411764705882,0.26027397260274,2.02689075630252,9
"13",213500,-122.26,37.85,52,1098,468,3.075,"NEAR BAY",5.32264957264957,0.190285026093938,2.34615384615385,13
"17",152500,-122.27,37.85,52,793,331,2.775,"NEAR BAY",5.93957703927492,0.176500508646999,2.39577039274924,17
"20",162900,-122.27,37.84,52,690,275,2.6033,"NEAR BAY",5.46545454545455,0.198270126413839,2.50909090909091,20
"21",147500,-122.27,37.85,40,409,166,1.3578,"NEAR BAY",4.52409638554217,0.245006657789614,2.46385542168675,21
"22",159800,-122.27,37.85,42,929,366,1.7135,"NEAR BAY",4.47814207650273,0.223917022574741,2.53825136612022,22
"25",132600,-122.27,37.84,52,1006,422,2.6,"NEAR BAY",5.27014218009479,0.196492805755396,2.38388625592417,25
"30",132000,-122.28,37.84,52,395,155,1.6875,"NEAR BAY",4.70322580645161,0.219478737997257,2.54838709677419,30
"31",122300,-122.28,37.84,49,863,378,1.9274,"NEAR BAY",5.06878306878307,0.233298538622129,2.28306878306878,31
"32",115200,-122.28,37.84,52,1168,441,1.9615,"NEAR BAY",4.88208616780045,0.223409196470042,2.64852607709751,32
"34",104900,-122.27,37.83,49,754,329,1.375,"NEAR BAY",5.03039513677812,0.221148036253776,2.29179331306991,34
"36",97200,-122.27,37.83,49,570,264,1.4861,"NEAR BAY",4.60227272727273,0.232098765432099,2.15909090909091,36
"38",103900,-122.28,37.83,52,901,403,1.4103,"NEAR BAY",3.74937965260546,0.258107213765718,2.23573200992556,38
"39",191400,-122.26,37.83,52,689,309,3.48,"NEAR BAY",4.75728155339806,0.224489795918367,2.22977346278317,39
"40",176000,-122.26,37.83,52,1377,696,2.5898,"NEAR BAY",3.49425287356322,0.293996710526316,1.97844827586207,40
"43",118800,-122.26,37.84,49,462,189,1.025,"NEAR BAY",3.77248677248677,0.283309957924264,2.44444444444444,43
"44",188800,-122.26,37.84,52,467,198,3.9643,"NEAR BAY",4.7979797979798,0.212631578947368,2.35858585858586,44
"46",182300,-122.26,37.83,52,718,382,2.6768,"NEAR BAY",4.33507853403141,0.253623188405797,1.87958115183246,46
"48",137500,-122.27,37.82,43,558,253,1.7348,"NEAR BAY",3.9802371541502,0.309831181727905,2.20553359683794,48
"49",187500,-122.26,37.82,40,423,160,0.9506,"NEAR BAY",3.9,0.3125,2.64375,49
"50",112500,-122.27,37.82,40,700,352,1.775,"NEAR BAY",2.6875,0.396405919661734,1.98863636363636,50
"53",97500,-122.27,37.82,41,1959,720,1.1108,"NEAR BAY",4.47361111111111,0.264824588637069,2.72083333333333,53
"54",104200,-122.27,37.82,52,1162,400,1.2475,"NEAR BAY",4.075,0.279754601226994,2.905,54
"61",75700,-122.29,37.83,52,554,187,3.3929,"NEAR BAY",5.99465240641711,0.188224799286351,2.96256684491979,61
"65",73500,-122.3,37.81,48,392,133,2.5938,"NEAR BAY",6.22556390977444,0.219806763285024,2.94736842105263,65
"67",84400,-122.3,37.81,48,788,332,0.8056,"NEAR BAY",4.38253012048193,0.243298969072165,2.37349397590361,67
"68",81300,-122.29,37.8,52,492,147,2.6094,"NEAR BAY",6.98639455782313,0.237585199610516,3.3469387755102,68
"70",129200,-122.29,37.81,46,1823,611,0.9802,"NEAR BAY",4.58428805237316,0.229917886469118,2.98363338788871,70
"71",82500,-122.29,37.81,26,392,127,1.7719,"NEAR BAY",6.04724409448819,0.197916666666667,3.08661417322835,71
"72",95200,-122.29,37.81,46,582,277,0.7286,"NEAR BAY",3.37545126353791,0.317647058823529,2.10108303249097,72
"73",75000,-122.29,37.81,49,560,152,1.75,"NEAR BAY",5.55263157894737,0.241706161137441,3.68421052631579,73
