"","age","job","marital","education","default","balance","housing","loan","duration","deposit"
"1",58,"management","married","tertiary","no",2143,"yes","no",261,"no"
"2",44,"technician","single","secondary","no",29,"yes","no",151,"no"
"3",33,"entrepreneur","married","secondary","no",2,"yes","yes",76,"no"
"4",47,"blue-collar","married","unknown","no",1506,"yes","no",92,"no"
"5",33,"unknown","single","unknown","no",1,"no","no",198,"no"
"6",35,"management","married","tertiary","no",231,"yes","no",139,"no"
"7",28,"management","single","tertiary","no",447,"yes","yes",217,"no"
"8",42,"entrepreneur","divorced","tertiary","yes",2,"yes","no",380,"no"
"9",58,"retired","married","primary","no",121,"yes","no",50,"no"
"10",43,"technician","single","secondary","no",593,"yes","no",55,"no"
"11",41,"admin.","divorced","secondary","no",270,"yes","no",222,"no"
"12",29,"admin.","single","secondary","no",390,"yes","no",137,"no"
"13",53,"technician","married","secondary","no",6,"yes","no",517,"no"
"14",58,"technician","married","unknown","no",71,"yes","no",71,"no"
"15",57,"services","married","secondary","no",162,"yes","no",174,"no"
"16",51,"retired","married","primary","no",229,"yes","no",353,"no"
"17",45,"admin.","single","unknown","no",13,"yes","no",98,"no"
"18",57,"blue-collar","married","primary","no",52,"yes","no",38,"no"
"19",60,"retired","married","primary","no",60,"yes","no",219,"no"
"20",33,"services","married","secondary","no",0,"yes","no",54,"no"
"21",28,"blue-collar","married","secondary","no",723,"yes","yes",262,"no"
"22",56,"management","married","tertiary","no",779,"yes","no",164,"no"
"23",32,"blue-collar","single","primary","no",23,"yes","yes",160,"no"
"24",25,"services","married","secondary","no",50,"yes","no",342,"no"
"25",40,"retired","married","primary","no",0,"yes","yes",181,"no"
"26",44,"admin.","married","secondary","no",-372,"yes","no",172,"no"
"27",39,"management","single","tertiary","no",255,"yes","no",296,"no"
"28",52,"entrepreneur","married","secondary","no",113,"yes","yes",127,"no"
"29",46,"management","single","secondary","no",-246,"yes","no",255,"no"
"30",36,"technician","single","secondary","no",265,"yes","yes",348,"no"
"31",57,"technician","married","secondary","no",839,"no","yes",225,"no"
"32",49,"management","married","tertiary","no",378,"yes","no",230,"no"
"33",60,"admin.","married","secondary","no",39,"yes","yes",208,"no"
"34",59,"blue-collar","married","secondary","no",0,"yes","no",226,"no"
"35",51,"management","married","tertiary","no",10635,"yes","no",336,"no"
"36",57,"technician","divorced","secondary","no",63,"yes","no",242,"no"
"37",25,"blue-collar","married","secondary","no",-7,"yes","no",365,"no"
"38",53,"technician","married","secondary","no",-3,"no","no",1666,"no"
"39",36,"admin.","divorced","secondary","no",506,"yes","no",577,"no"
"40",37,"admin.","single","secondary","no",0,"yes","no",137,"no"
"41",44,"services","divorced","secondary","no",2586,"yes","no",160,"no"
"42",50,"management","married","secondary","no",49,"yes","no",180,"no"
"43",60,"blue-collar","married","unknown","no",104,"yes","no",22,"no"
"44",54,"retired","married","secondary","no",529,"yes","no",1492,"no"
"45",58,"retired","married","unknown","no",96,"yes","no",616,"no"
"46",36,"admin.","single","primary","no",-171,"yes","no",242,"no"
"47",58,"self-employed","married","tertiary","no",-364,"yes","no",355,"no"
"48",44,"technician","married","secondary","no",0,"yes","no",225,"no"
"49",55,"technician","divorced","secondary","no",0,"no","no",160,"no"
"50",29,"management","single","tertiary","no",0,"yes","no",363,"no"
"51",54,"blue-collar","married","secondary","no",1291,"yes","no",266,"no"
"52",48,"management","divorced","tertiary","no",-244,"yes","no",253,"no"
"53",32,"management","married","tertiary","no",0,"yes","no",179,"no"
"54",42,"admin.","single","secondary","no",-76,"yes","no",787,"no"
"55",24,"technician","single","secondary","no",-103,"yes","yes",145,"no"
"56",38,"entrepreneur","single","tertiary","no",243,"no","yes",174,"no"
"57",38,"management","single","tertiary","no",424,"yes","no",104,"no"
"58",47,"blue-collar","married","unknown","no",306,"yes","no",13,"no"
"59",40,"blue-collar","single","unknown","no",24,"yes","no",185,"no"
"60",46,"services","married","primary","no",179,"yes","no",1778,"no"
"61",32,"admin.","married","tertiary","no",0,"yes","no",138,"no"
"62",53,"technician","divorced","secondary","no",989,"yes","no",812,"no"
"63",57,"blue-collar","married","primary","no",249,"yes","no",164,"no"
"64",33,"services","married","secondary","no",790,"yes","no",391,"no"
"65",49,"blue-collar","married","unknown","no",154,"yes","no",357,"no"
"66",51,"management","married","tertiary","no",6530,"yes","no",91,"no"
"67",60,"retired","married","tertiary","no",100,"no","no",528,"no"
"68",59,"management","divorced","tertiary","no",59,"yes","no",273,"no"
"69",55,"technician","married","secondary","no",1205,"yes","no",158,"no"
"70",35,"blue-collar","single","secondary","no",12223,"yes","yes",177,"no"
"71",57,"blue-collar","married","secondary","no",5935,"yes","yes",258,"no"
"72",31,"services","married","secondary","no",25,"yes","yes",172,"no"
"73",54,"management","married","secondary","no",282,"yes","yes",154,"no"
"74",55,"blue-collar","married","primary","no",23,"yes","no",291,"no"
"75",43,"technician","married","secondary","no",1937,"yes","no",181,"no"
"76",53,"technician","married","secondary","no",384,"yes","no",176,"no"
"77",44,"blue-collar","married","secondary","no",582,"no","yes",211,"no"
"78",55,"services","divorced","secondary","no",91,"no","no",349,"no"
"79",49,"services","divorced","secondary","no",0,"yes","yes",272,"no"
"80",55,"services","divorced","secondary","yes",1,"yes","no",208,"no"
"81",45,"admin.","single","secondary","no",206,"yes","no",193,"no"
"82",47,"services","divorced","secondary","no",164,"no","no",212,"no"
"83",42,"technician","single","secondary","no",690,"yes","no",20,"no"
"84",59,"admin.","married","secondary","no",2343,"yes","no",1042,"yes"
"85",46,"self-employed","married","tertiary","no",137,"yes","yes",246,"no"
"86",51,"blue-collar","married","primary","no",173,"yes","no",529,"no"
"87",56,"admin.","married","secondary","no",45,"no","no",1467,"yes"
"88",41,"technician","married","secondary","no",1270,"yes","no",1389,"yes"
"89",46,"management","divorced","secondary","no",16,"yes","yes",188,"no"
"90",57,"retired","married","secondary","no",486,"yes","no",180,"no"
"91",42,"management","single","secondary","no",50,"no","no",48,"no"
"92",30,"technician","married","secondary","no",152,"yes","yes",213,"no"
"93",60,"admin.","married","secondary","no",290,"yes","no",583,"no"
"94",60,"blue-collar","married","unknown","no",54,"yes","no",221,"no"
"95",57,"entrepreneur","divorced","secondary","no",-37,"no","no",173,"no"
"96",36,"management","married","tertiary","no",101,"yes","yes",426,"no"
"97",55,"blue-collar","married","secondary","no",383,"no","no",287,"no"
"98",60,"retired","married","tertiary","no",81,"yes","no",101,"no"
"99",39,"technician","married","secondary","no",0,"yes","no",203,"no"
"100",46,"management","married","tertiary","no",229,"yes","no",197,"no"
"101",44,"blue-collar","married","secondary","no",-674,"yes","no",257,"no"
"102",53,"blue-collar","married","primary","no",90,"no","no",124,"no"
"103",52,"blue-collar","married","primary","no",128,"yes","no",229,"no"
"104",59,"blue-collar","married","primary","no",179,"yes","no",55,"no"
"105",27,"technician","single","tertiary","no",0,"yes","no",400,"no"
"106",44,"blue-collar","married","secondary","no",54,"yes","no",197,"no"
