"","SCHOOL_CODE","SCHOOL_NAME","AMPH_ID","AMPH_NAME","PROV_ID","PROV_NAME","REGION_NAME","URBAN_ZONE","AREA_CODE_M6","AREA_NAME_M6","BUREA_CODE","BUREA_NAME","SCHOOL_SIZE","thai_avg","soc_avg","eng_avg","math_avg","sci_avg","thai_sd","soc_sd","eng_sd","math_sd","sci_sd","thai_min","soc_min","eng_min","math_min","sci_min","thai_max","soc_max","eng_max","math_max","sci_max","com1"
"1","0010039990","ดรุณสิกขาลัย มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","1049","เขตทุ่งครุ","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN",NA,NA,"14","สำนักงานคณะกรรมการการอุดมศึกษา","S",68.922413,43.034482,71.573275,79.741379,59.406896,12.515788,8.901699,12.129337,24.383298,15.744731,29.5,18,41.25,7.5,18.8,87,63,91.25,100,81.6,11.3548456717775
"2","1113100079","สารสาสน์วิเทศรังสิต","1303","ธัญบุรี","13","ปทุมธานี","กลาง","SUBURB",NA,NA,"11","สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","XL",43.569148,34.364583,41.601562,34.088541,30.905263,17.602831,7.240109,19.063101,19.449186,11.59473,12.5,15,8.75,7.5,12.8,79.5,54,87.5,95,74.4,2.04971751700278
"3","1007661101","ดงเจริญพิทยาคม","6611","ดงเจริญ","66","พิจิตร","กลาง","SUBURB","10141","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 41","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",31.882352,27.941176,21.764705,20,25.764705,10.557307,5.97515,4.091302,6.30126,7.197462,15,18,15,12.5,12.4,55,36,30,35,42,-1.71055152514295
"4","1010012013","ราชวินิต มัธยม","1002","เขตดุสิต","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10101","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 1","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",55.272058,38.900735,39.404981,39.237132,33.771428,12.984987,7.806088,15.448701,20.619804,11.834733,18,22,11.25,5,11.6,84,65,82.5,97.5,80.4,3.71291905827958
"5","1010012014","มัธยมวัดมกุฏกษัตริย์","1001","เขตพระนคร","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10101","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 1","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","L",42.917266,33.442028,27.264492,25.126811,28.020143,13.23278,7.24421,10.372972,13.842157,8.285738,15.5,16,11.25,2.5,10,79,67,70,92.5,70,0.387894647882552
"6","1010012015","วัดสังเวช","1001","เขตพระนคร","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10101","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 1","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",45.229166,33.375,28.489583,23.75,24.333333,10.113915,8.00423,7.705341,8.036375,6.476281,21.5,16,18.75,12.5,7.2,63.5,49,48.75,47.5,38,0.125214821387514
"7","1010012017","เตรียมอุดมศึกษา","1007","เขตปทุมวัน","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10101","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 1","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",78.924339,54.705338,80.814056,83.966192,62.441084,8.668477,9.489909,11.73027,21.834335,19.132988,5,24,18.75,12.5,12.4,95.5,79,100,100,98.4,14.4324600533172
"8","1010012018","วัดสระเกศ","1008","เขตป้อมปราบศัตรูพ่าย","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10101","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 1","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",39.761904,33.590909,25.511363,25.454545,25.009523,12.449535,7.4447,11.159096,9.312636,6.928886,25,21,12.5,12.5,13.6,75,51,67.5,50,38.4,-0.150342026258404
"9","1010012019","เทพศิรินทร์","1008","เขตป้อมปราบศัตรูพ่าย","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10101","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 1","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",55.364285,38.917857,45.78125,51.544642,37.987142,17.278611,9.115158,17.832871,27.974444,14.354249,8,10,10,2.5,8.8,87,67,91.25,100,85.2,5.10551868173391
"10","1010012020","สายปัญญา ในพระบรมราชินูปถัมภ์","1008","เขตป้อมปราบศัตรูพ่าย","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10101","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 1","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","L",52.902439,38.128472,36.002604,34.001736,31.023611,14.640258,8.104836,14.791248,20.234669,10.495475,19,19,12.5,2.5,10,87,64,86.25,100,72,2.75920522426438
"11","1010012021","พระโขนงพิทยาลัย","1009","เขตพระโขนง","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10102","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 2","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","L",45.922448,34.088709,28.493975,25.943775,28.772244,14.297787,6.373476,10.067718,13.263352,8.12321,8,19,7.5,5,6.4,85,56,70,90,62.4,0.819611519937334
"12","1010012022","วชิรธรรมสาธิต","1009","เขตพระโขนง","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10102","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 2","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",50.718649,36.907936,34.572784,33.908227,32.297106,12.870383,6.757087,13.187783,19.410689,10.506979,17.5,21,12.5,5,11.6,81,57,92.5,100,74,2.53045868184004
"13","1010012024","เจ้าพระยาวิทยาคม","1012","เขตยานนาวา","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10102","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 2","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",32.882978,31.479166,22.760416,20.416666,22.859574,12.888728,5.563986,5.253708,8.902441,8.005947,12,22,15,7.5,8,72,41,36.25,42.5,40,-1.41923083011917
"14","1010012025","ไตรมิตรวิทยาลัย","1013","เขตสัมพันธวงศ์","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10101","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 1","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","L",44.892592,32.255639,29.833333,30.222222,30.72,13.649365,6.221058,11.645616,18.692112,11.363442,11.5,17,10,5,9.6,75.5,54,81.25,100,80.4,1.00919214755844
"15","1010012026","สามเสนวิทยาลัย","1014","เขตพญาไท","10","กรุงเทพมหานคร","กรุงเทพมหานคร","URBAN","10101","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 1","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",70.712,47.388,66.8425,71.48,47.7408,11.743766,8.634202,16.637369,24.76004,15.929565,23,24,20,10,13.2,92,72,97.5,100,86.8,10.1610586716652
