Source,Target,Weight
181,19,1
181,150,1
181,159,1
181,181,1
181,263,1
134,1,1
134,25,1
134,72,1
134,168,1
134,169,1
134,179,1
134,204,1
134,223,1
134,239,1
134,253,1
134,276,1
134,283,1
134,286,1
9,154,1
9,263,1
9,264,1
9,272,1
9,277,1
9,283,1
9,308,1
72,1,1
72,25,1
72,26,1
72,39,1
72,43,1
72,44,1
72,65,1
72,72,1
72,146,1
72,154,1
72,168,1
72,179,1
72,204,1
72,209,1
72,212,1
72,226,1
72,228,1
72,232,1
72,252,1
72,253,1
72,264,1
72,268,1
72,272,1
72,286,1
72,301,1
72,302,1
72,307,1
72,308,1
72,309,1
212,1,1
212,40,1
212,41,1
212,43,1
212,72,1
212,101,1
212,131,1
212,168,1
212,169,1
212,173,1
212,179,1
212,190,1
212,205,1
212,212,1
212,223,1
212,228,1
212,239,1
212,254,1
212,264,1
212,269,1
212,274,1
212,279,1
212,283,1
212,286,1
212,291,1
212,292,1
212,302,1
212,304,1
212,308,1
128,190,1
128,253,1
128,274,1
65,34,1
65,39,1
65,43,1
65,62,1
65,72,1
65,94,1
65,142,1
65,168,1
65,169,1
65,170,1
65,204,1
65,209,1
65,216,1
65,223,1
65,238,1
65,253,1
65,272,1
65,292,1
65,301,1
65,302,1
65,307,1
65,308,1
76,34,1
76,39,1
76,40,1
76,131,1
76,179,1
76,228,1
76,272,1
76,291,1
76,292,1
76,307,1
76,308,1
169,1,1
169,19,1
169,25,1
169,34,1
169,41,1
169,43,1
169,44,1
169,46,1
169,62,1
169,65,1
169,94,1
169,101,1
169,131,1
169,162,1
169,169,1
169,173,1
169,179,1
169,190,1
169,204,1
169,212,1
169,223,1
169,226,1
169,228,1
169,232,1
169,238,1
169,239,1
169,252,1
169,253,1
169,268,1
169,274,1
169,279,1
169,291,1
169,292,1
169,302,1
169,304,1
169,307,1
169,308,1
169,309,1
219,1,1
219,29,1
219,41,1
219,44,1
219,54,1
219,65,1
219,169,1
219,179,1
219,204,1
219,212,1
219,226,1
219,228,1
219,232,1
219,252,1
219,253,1
219,264,1
219,286,1
219,291,1
219,292,1
219,302,1
219,304,1
219,308,1
219,309,1
131,1,1
131,25,1
131,29,1
131,41,1
131,43,1
131,46,1
131,65,1
131,72,1
131,94,1
131,101,1
131,131,1
131,168,1
131,169,1
131,179,1
131,190,1
131,204,1
131,205,1
131,212,1
131,223,1
131,226,1
131,228,1
131,232,1
131,253,1
131,254,1
131,264,1
131,268,1
131,274,1
131,286,1
131,289,1
131,301,1
131,302,1
131,304,1
131,307,1
131,308,1
131,309,1
150,19,1
150,159,1
150,181,1
132,44,1
132,65,1
132,168,1
132,212,1
132,264,1
132,286,1
132,302,1
132,308,1
56,54,1
56,89,1
56,224,1
92,26,1
92,34,1
92,39,1
92,72,1
92,162,1
92,173,1
92,223,1
92,253,1
92,277,1
92,301,1
92,307,1
92,309,1
39,1,1
39,34,1
39,41,1
39,43,1
39,65,1
39,72,1
39,101,1
39,146,1
39,162,1
39,179,1
39,223,1
39,252,1
39,253,1
39,254,1
39,264,1
39,272,1
39,274,1
39,279,1
39,286,1
39,291,1
39,301,1
39,307,1
39,308,1
39,309,1
39,310,1
21,268,1
194,224,1
213,279,1
40,34,1
40,39,1
40,40,1
40,41,1
40,43,1
40,62,1
40,101,1
40,162,1
40,169,1
40,179,1
40,205,1
40,209,1
40,212,1
40,223,1
40,238,1
40,274,1
40,279,1
40,292,1
40,302,1
40,307,1
40,309,1
190,25,1
190,29,1
190,34,1
190,41,1
190,43,1
190,62,1
190,64,1
190,65,1
190,94,1
190,101,1
190,131,1
190,142,1
190,159,1
190,162,1
190,169,1
190,173,1
190,179,1
190,190,1
190,204,1
190,205,1
190,212,1
190,223,1
190,224,1
190,226,1
190,228,1
190,232,1
190,238,1
190,239,1
190,252,1
190,253,1
190,254,1
190,268,1
190,274,1
190,279,1
190,286,1
190,291,1
190,292,1
190,299,1
190,302,1
190,304,1
190,307,1
190,309,1
14,39,1
14,72,1
14,142,1
14,162,1
14,173,1
14,212,1
14,223,1
14,253,1
14,307,1
14,308,1
14,309,1
43,1,1
43,25,1
43,29,1
43,39,1
43,46,1
43,47,1
43,65,1
43,72,1
43,94,1
43,131,1
43,146,1
43,169,1
43,170,1
43,179,1
43,190,1
43,195,1
43,204,1
43,223,1
43,226,1
43,228,1
43,232,1
43,239,1
43,252,1
43,253,1
43,264,1
43,268,1
43,272,1
43,274,1
43,286,1
43,301,1
43,302,1
43,304,1
43,307,1
43,308,1
43,309,1
26,26,1
26,41,1
26,43,1
26,44,1
26,72,1
26,146,1
26,169,1
26,272,1
26,301,1
29,1,1
29,19,1
29,25,1
29,34,1
29,43,1
29,46,1
29,62,1
29,94,1
29,101,1
29,131,1
29,168,1
29,169,1
29,170,1
29,179,1
29,190,1
29,195,1
29,204,1
29,216,1
29,224,1
29,228,1
29,238,1
29,252,1
29,253,1
29,254,1
29,269,1
29,274,1
29,279,1
29,283,1
29,292,1
29,309,1
27,25,1
27,301,1
27,308,1
32,34,1
32,62,1
32,162,1
32,223,1
32,253,1
32,292,1
32,307,1
195,101,1
195,168,1
195,226,1
195,277,1
195,286,1
195,302,1
200,1,1
200,25,1
200,40,1
200,41,1
200,44,1
200,72,1
200,101,1
200,131,1
200,162,1
200,168,1
200,169,1
200,173,1
200,179,1
200,204,1
200,205,1
200,212,1
200,223,1
200,274,1
200,289,1
200,302,1
200,308,1
159,25,1
159,94,1
201,41,1
201,232,1
201,277,1
201,286,1
71,1,1
71,25,1
71,41,1
71,44,1
71,170,1
71,204,1
71,212,1
71,223,1
71,272,1
71,276,1
71,279,1
71,302,1
71,307,1
71,308,1
172,94,1
172,173,1
172,228,1
172,308,1
210,41,1
210,65,1
210,162,1
210,238,1
210,291,1
210,292,1
210,304,1
216,41,1
216,62,1
216,216,1
216,232,1
216,253,1
216,283,1
216,286,1
216,291,1
216,302,1
216,304,1
34,1,1
34,19,1
34,25,1
34,29,1
34,39,1
34,41,1
34,46,1
34,62,1
34,65,1
34,94,1
34,101,1
34,131,1
34,162,1
34,179,1
34,190,1
34,223,1
34,224,1
34,226,1
34,228,1
34,232,1
34,238,1
34,252,1
34,253,1
34,254,1
34,268,1
34,274,1
34,277,1
34,279,1
34,286,1
34,291,1
34,292,1
34,299,1
34,301,1
34,302,1
34,304,1
34,307,1
34,309,1
146,39,1
146,41,1
146,43,1
146,209,1
146,254,1
146,286,1
146,307,1
146,309,1
146,310,1
89,54,1
89,224,1
46,43,1
154,64,1
154,72,1
154,224,1
154,252,1
154,264,1
154,272,1
154,277,1
154,308,1
204,1,1
204,43,1
204,72,1
204,131,1
204,168,1
204,170,1
204,190,1
204,204,1
204,223,1
204,226,1
204,253,1
204,254,1
204,264,1
204,274,1
204,304,1
204,308,1
204,309,1
66,309,1
25,34,1
25,43,1
25,72,1
25,131,1
25,159,1
25,162,1
25,205,1
25,212,1
25,223,1
25,224,1
25,239,1
25,248,1
25,277,1
25,279,1
25,289,1
57,169,1
57,223,1
161,43,1
161,65,1
161,72,1
161,204,1
161,264,1
161,272,1
161,302,1
161,308,1
61,1,1
61,25,1
61,41,1
61,94,1
61,142,1
61,162,1
61,173,1
61,179,1
61,204,1
61,205,1
61,223,1
61,308,1
179,40,1
